集團名稱,count
4148  全宇生技,1
4530  宏易集團,1
4529A 港商中南集團,1
4528  江興鍛,1
4527  方土霖,1
4513A 清景麟,1
4506  崇友集團,1
25730 興亞營造,1
4442  竣邦-KY,1
4717  天泰集團,1
4438A 吳朝筆家族,1
4429  聚紡集團,1
4430  耀億工業,1
4426  利勤,1
4417  金洲,1
4414A 偉豪投資集團,1
4413B 林資益家族,1
4558  寶緯工業,1
4557  永新,1
4556  旭然國際,1
4555  台灣氣立,1
4554  橙的,1
4552  力達-KY,1
4549  桓達,1
4543  萬壽鋁業,1
4542  科嶠,1
4190  佐登妮絲,1
4183  福永生技,1
4538  大詠城,1
4536  拓凱,1
4535  至興精機,1
4534A 慶璉實業,1
4533  協易機,1
4702A 大陸金鷹商貿,1
4609  唐鋒實業,1
4588  玖鼎電力集團,1
4584  君帆集團,1
4583  精銳集團,1
1578  光隆股,1
4580  捷流閥業,1
3241  大船企業,1
4572  駐龍,1
4571  鈞興機電,1
4568  科際精密,1
4441  振大集團,1
4439  冠星-KY,1
4563  百德,1
4561  健椿,1
4560  強信-KY,1
1516A 庭楊,1
1515  力山企業集團,1
1514  亞力,1
1513  中興電工集團,1
1569  濱川,1
1568  倉佑,1
1565  精華,1
1563A 永銘投資,1
4735  豪展集團,1
4728A 林園婚旅機構,1
4722  國精化,1
4541  晟田科技,1
4540  全球傳動,1
1586A 格林山派,1
4711  永純化學,1
4706  大恭,1
4566A 時碩黃家,1
4564  元翎,1
4760  勤凱科技,1
4755  三福化工,1
4754A 立熠投資,1
6695  詹文雄家族,1
1797  合富集團,1
2358B 廷鑫金屬,1
4741  泓瀚,1
4739  康普材料,1
4737  華廣,1
4736  泰博,1
1595  川寶,1
1591C 微影半導體,1
1519  華城集團,1
1517  利奇,1
4935  茂林光電,1
4931A 新盛力集團,1
4721  美琪瑪,1
4720  德淵集團,1
3313  斐成集團,1
2336  致伸集團,1
4912  聯德控股,1
4911  德英,1
4909  新復興集團,1
4907D 富宇建設,1
4807  日成,1
4771  望隼集團,1
4770  上品綜合,1
4768  晶呈科技,1
4767  誠泰科技,1
4766A 廣榮投資,1
4979A 誼虹科技,1
4977  眾達,1
4976  佳凌,1
4764  雙鍵,1
4763  大自然,1
4971  IET,1
4968  立積,1
4967  十銓,1
4966  譜瑞,1
4960B 宋妍儀團隊,1
